,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
0,28-63,"Federal-gov,Private,Self-emp-inc,Self-emp-not-inc,State-gov",72887-80914,"9th,Assoc-voc,Bachelors,HS-grad,Masters,Prof-school",5-15,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Farming-fishing,Machine-op-inspct,Prof-specialty","Husband,Not-in-family,Own-child,Unmarried","Asian-Pac-Islander,Black,White","Female,Male",0-2174,0,30-55,"Germany,United-States","<=50k,>50k"
1,23-60,"Private,Self-emp-not-inc",81281-85815,"Assoc-acdm,Bachelors,HS-grad,Some-college",9-13,"Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Farming-fishing,Prof-specialty,Sales","Husband,Not-in-family,Wife","Asian-Pac-Islander,White","Female,Male",0,0,13-40,United-States,"<=50k,>50k"
2,23-56,"Local-gov,Private",214542-220419,"5th-6th,Bachelors,HS-grad",3-13,"Divorced,Married-civ-spouse,Never-married","Craft-repair,Handlers-cleaners,Machine-op-inspct,Other-service,Protective-serv,Tech-support,Transport-moving","Husband,Not-in-family,Wife",White,"Female,Male",0,0-2339,40-56,"Mexico,United-States","<=50k,>50k"
3,19-67,"Federal-gov,Private,Self-emp-not-inc",228528-235485,"10th,11th,Assoc-acdm,HS-grad,Prof-school,Some-college",6-15,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Handlers-cleaners,Other-service,Prof-specialty,Sales","Husband,Not-in-family,Other-relative,Own-child,Unmarried,Wife","Black,White","Female,Male",0-20051,0,35-48,United-States,"<=50k,>50k"
4,23-58,"Federal-gov,Local-gov,Private,Self-emp-not-inc",321171-340148,"11th,Bachelors,HS-grad,Some-college",7-13,"Married-civ-spouse,Never-married","Adm-clerical,Farming-fishing,Handlers-cleaners,Other-service,Prof-specialty,Transport-moving","Husband,Not-in-family,Wife","Black,White","Female,Male",0,0-1887,30-50,"Canada,Cuba,Poland,United-States","<=50k,>50k"
5,22-46,"Local-gov,Private",279196-285020,"Bachelors,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct","Husband,Not-in-family,Own-child,Wife","Black,White","Female,Male",0-7298,0,30-80,United-States,"<=50k,>50k"
6,27-65,"Local-gov,Private,Self-emp-not-inc",159937-162298,"10th,11th,9th,Bachelors,HS-grad,Some-college",5-13,"Married-civ-spouse,Married-spouse-absent,Never-married,Widowed","Adm-clerical,Craft-repair,Other-service,Sales,Transport-moving","Husband,Not-in-family,Unmarried,Wife","Black,Other,White","Female,Male",0,0-2415,6-70,"Jamaica,United-States","<=50k,>50k"
7,17-58,"Private,Self-emp-inc,Self-emp-not-inc",209642-213921,"9th,Bachelors,HS-grad,Some-college",5-13,"Divorced,Married-civ-spouse,Never-married","Exec-managerial,Machine-op-inspct,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child,Unmarried,Wife","Black,White","Female,Male",0-15024,0,6-45,"Mexico,United-States","<=50k,>50k"
8,24-67,"Private,State-gov",43323-51618,"Assoc-voc,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Other-service,Prof-specialty","Husband,Not-in-family,Unmarried,Wife",White,"Female,Male",0-14084,0-1762,24-50,United-States,"<=50k,>50k"
9,24-62,Private,155222-159841,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married,Widowed","Adm-clerical,Craft-repair,Exec-managerial,Machine-op-inspct,Other-service,Prof-specialty","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-5178,0,24-42,United-States,"<=50k,>50k"
10,22-46,"Local-gov,Private",279196-285020,"Bachelors,HS-grad,Masters,Some-college",9-14,"Married-civ-spouse,Never-married","Craft-repair,Exec-managerial,Farming-fishing,Handlers-cleaners,Machine-op-inspct","Husband,Not-in-family,Own-child,Wife","Black,White","Female,Male",0-7298,0,30-80,United-States,"<=50k,>50k"
11,30-59,"Private,Self-emp-not-inc,State-gov",141297-146268,"Assoc-acdm,Assoc-voc,Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Married-spouse-absent","Adm-clerical,Exec-managerial,Handlers-cleaners,Machine-op-inspct,Prof-specialty,Sales,Tech-support","Husband,Not-in-family,Unmarried","Asian-Pac-Islander,Black,White","Female,Male",0-7688,0-1380,35-42,"India,Taiwan,United-States","<=50k,>50k"
12,23-47,"Private,Self-emp-not-inc,State-gov",117963-122272,"Bachelors,HS-grad,Some-college",9-13,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Protective-serv,Tech-support","Husband,Own-child,Unmarried,Wife",White,"Female,Male",0-7298,0,16-60,United-States,"<=50k,>50k"
13,21-50,"Private,Self-emp-not-inc",202692-205759,"7th-8th,Assoc-acdm,Bachelors,HS-grad,Masters",4-14,"Divorced,Married-civ-spouse,Married-spouse-absent,Never-married","Craft-repair,Handlers-cleaners,Prof-specialty,Sales","Husband,Not-in-family,Own-child","Black,White","Female,Male",0-2174,0,40-72,"Dominican-Republic,United-States","<=50k,>50k"
14,17-60,"Local-gov,Private",242606-248344,"11th,7th-8th,HS-grad,Some-college",4-10,"Divorced,Married-civ-spouse,Never-married,Separated","Craft-repair,Handlers-cleaners,Machine-op-inspct,Other-service,Sales,Transport-moving","Husband,Not-in-family,Own-child","Amer-Indian-Eskimo,Black,White","Female,Male",0,0,12-56,"Mexico,United-States","<=50k,>50k"
15,17-65,"Private,Self-emp-not-inc,State-gov",175024-176796,"11th,Assoc-acdm,HS-grad,Some-college",7-12,"Divorced,Married-civ-spouse,Never-married","Adm-clerical,Farming-fishing,Handlers-cleaners,Other-service,Protective-serv,Sales","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0-2176,0,18-45,United-States,<=50k
16,20-48,Private,186824-188386,"Assoc-voc,Doctorate,HS-grad,Some-college",9-16,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Machine-op-inspct,Prof-specialty,Tech-support","Husband,Not-in-family,Own-child,Unmarried,Wife",White,"Female,Male",0-15024,0-1887,25-60,United-States,"<=50k,>50k"
17,18-64,"Federal-gov,Local-gov,Private",21174-29662,"11th,Assoc-acdm,HS-grad,Some-college",7-12,"Married-civ-spouse,Never-married","Adm-clerical,Exec-managerial,Handlers-cleaners,Other-service,Sales","Husband,Own-child,Wife",White,"Female,Male",0,0,16-50,United-States,"<=50k,>50k"
18,19-44,"Private,Self-emp-not-inc,State-gov",290521-301606,"Assoc-voc,Bachelors,HS-grad,Masters,Some-college",9-14,"Divorced,Married-civ-spouse,Never-married,Widowed","Craft-repair,Exec-managerial,Other-service,Protective-serv,Sales","Husband,Not-in-family,Own-child,Unmarried","Black,White","Female,Male",0-7298,0,35-50,United-States,"<=50k,>50k"
19,25-50,Private,192776-193815,"1st-4th,Assoc-acdm,Doctorate,HS-grad,Masters,Some-college",2-16,"Married-civ-spouse,Married-spouse-absent,Never-married","Adm-clerical,Craft-repair,Exec-managerial,Prof-specialty,Tech-support","Husband,Own-child,Unmarried",White,"Female,Male",0,0-1977,40-60,United-States,"<=50k,>50k"
